ItemId,ItemStatus
II310100T,False
II510400FB,False
II510500T,False
II511400FT,False
SK83016GISB,False
SK82619GIS,False
SK832160,False
2CMK083016,False
KF426800,False
SK83016GTZR,False
SK162619GIS,False
SK163619GVRB,False
II310105B,False
II510600KFT,False
II510500B,False
II511400FB,False
II510600T,False
II510600KT,False
II511600KFT,False
II511600T,False
II710700B,False
II710700KFT,False
SK163016GISB,False
2CMK162616,False
2CMK163016,False
2CMK1636200,False
KF4321600,False
2CMK163216,False
KHX163216K2,False
SK163016GTZR,False
2CMW163015,False
2CMW163216W,False
SK163216GTZR,False
2CMW163618Z,False
SK163618GTZN,False
SK163616GTZNC,False
SK323216GIS,False
SK323216GVK,False
SK323216SGVK,False
2CMT1632160W,False
2CMT1636180W,False
2CMK3230161,False
SK323215GTZR,False
2CMW1632140,False
SK323616GTZNC,False
2CMT1640190,False
2CMK643016,False
SK163016GIS,False
SK163216VKB,False
244729,False
2CMK163015,False
2CMW163618,False
2CMW1636200,False
2CMW3236180,False
2CMW6436182,False
2CMW128320164,False
SK38160SL,False
SK48260GRS,False
SMD-4826SL,False
SK416260GRS,False
CR48261SL,False
24162619S,False
II711700KB,False
II911900T,False
II911900B,False
II911900KT,False
II910900XT,False
II910920XT,False
II910940XT,False
IG5420B,False
II511600KFB,False
AMD-R53600-TR,False
AMD-R53600XT-TR,False
AMD-R73700XT,False
AMD-R55600G,False
AMD-R75700G,False
AMD-R95900XT,False
AMD-R95950XT,False
AMD-TRP3975,False
AMD-R55600X,False
AMD-R95900X,False
AMD-TRP3955,False
AMD-TR3960WX,False
AMD-TR3970WX,False
AMD-TR3990WX,False
CLM-SSD-M2C,False
CLM-F50,False
CLM-F70,False
AMD-FANR5,False
CLM-FT20,False
AN3-A30,False
CLM-F70CPW,False
CLM-FT200,False
CLM-F4110,False
CLM-F4112,False
CLM-F410RW,False
CLM-F2129,False
CLM-F610P,False
CLM-FMA620M,False
CLM-F2125,False
AN3-C40,False
CLM-F4101,False
215-H610,False
215-H100X,False
215-H10043,False
215-H115044,False
215-H10046,False
215-H115047,False
215-H10050,False
215-H150045,False
CLM-L3610,False
215-H15048,False
94LC2800,False
94LC2402,False
